max,min,detection_probability,run
42.000000,26.000000,1.000000,99
42.000000,29.000000,0.992754,99
42.000000,36.000000,0.528986,99
43.000000,0.000000,1.000000,99
43.000000,1.000000,1.000000,99
43.000000,2.000000,1.000000,99
43.000000,3.000000,1.000000,99
43.000000,4.000000,1.000000,99
43.000000,5.000000,1.000000,99
43.000000,6.000000,1.000000,99
43.000000,7.000000,1.000000,99
43.000000,8.000000,1.000000,99
43.000000,9.000000,1.000000,99
43.000000,10.000000,1.000000,99
43.000000,11.000000,1.000000,99
43.000000,12.000000,1.000000,99
43.000000,13.000000,1.000000,99
43.000000,14.000000,1.000000,99
43.000000,16.000000,1.000000,99
43.000000,18.000000,1.000000,99
43.000000,19.000000,1.000000,99
43.000000,20.000000,1.000000,99
43.000000,22.000000,1.000000,99
43.000000,28.000000,1.000000,99
43.000000,34.000000,1.000000,99
44.000000,0.000000,1.000000,99
44.000000,1.000000,1.000000,99
44.000000,2.000000,1.000000,99
44.000000,3.000000,1.000000,99
44.000000,4.000000,1.000000,99
44.000000,5.000000,1.000000,99
44.000000,6.000000,1.000000,99
44.000000,7.000000,1.000000,99
44.000000,8.000000,1.000000,99
44.000000,9.000000,1.000000,99
44.000000,10.000000,1.000000,99
44.000000,11.000000,1.000000,99
44.000000,12.000000,1.000000,99
44.000000,13.000000,1.000000,99
44.000000,14.000000,1.000000,99
44.000000,15.000000,1.000000,99
44.000000,16.000000,1.000000,99
44.000000,17.000000,1.000000,99
44.000000,18.000000,1.000000,99
44.000000,19.000000,1.000000,99
44.000000,20.000000,1.000000,99
44.000000,21.000000,1.000000,99
44.000000,22.000000,1.000000,99
44.000000,24.000000,1.000000,99
44.000000,26.000000,1.000000,99
44.000000,27.000000,1.000000,99
44.000000,29.000000,0.911765,99
44.000000,31.000000,1.000000,99
44.000000,32.000000,1.000000,99
45.000000,0.000000,1.000000,99
45.000000,1.000000,1.000000,99
45.000000,2.000000,1.000000,99
45.000000,3.000000,1.000000,99
45.000000,4.000000,1.000000,99
45.000000,5.000000,1.000000,99
