name,date
A/Frederico_Westphalen/LACENRS_2130/2012|2012-07-26,2012.56557
A/Tennessee/F2079/2011|2011-03-15,2011.20000
A/Tennessee/F2090B/2011|2011-04-07,2011.26301
A/Nicaragua/AGA2_17/2012|2012-10-03,2012.75410
A/Nicaragua/AGA2_95/2012|2012-10-20,2012.80055
A/Nicaragua/AGA2_90/2012|2012-11-12,2012.86339
A/Nicaragua/AGA2_89/2012|2012-11-11,2012.86066
A/Nicaragua/AGA2_107/2012|2012-10-11,2012.77596
A/Nicaragua/AGA2_109/2012|2012-11-19,2012.88251
A/Nicaragua/AGA2_110/2012|2012-12-06,2012.92896
A/Nicaragua/AGA2_97/2012|2012-10-22,2012.80601
A/Nicaragua/AGA2_19/2012|2012-10-08,2012.76776
A/Nicaragua/AGA2_93/2012|2012-10-17,2012.79235
A/Nicaragua/AGA2_94/2012|2012-10-17,2012.79235
A/Nicaragua/AGA2_104/2012|2012-11-03,2012.83880
A/Nicaragua/AGA2_92/2012|2012-10-12,2012.77869
A/Nicaragua/AGA2_72/2012|2012-07-09,2012.51913
A/Nicaragua/AGA2_81/2012|2012-08-10,2012.60656
A/Nicaragua/AGA2_105/2012|2012-10-12,2012.77869
A/Nicaragua/30014_01_TR2/2012|2012-08-30,2012.66120
A/Nicaragua/7462_02/2012|2012-09-15,2012.70492
A/Nicaragua/930_01_TR1/2012|2012-08-28,2012.65574
A/Nicaragua/AGA2_09/2012|2012-08-31,2012.66393
A/Nicaragua/AGA2_100/2012|2012-10-26,2012.81694
A/Nicaragua/AGA2_18/2012|2012-09-07,2012.68306
A/Singapore/S2010.682/2010|2010-09-06,2010.67945
A/Peru/PER150/2010|2010-12-03,2010.92055
A/Moscow/1514A00504307T_CP2/2011|2011-02-07,2011.10137
A/Boston/DOA2_163/2013|2013-01-11,2013.02740
A/Mexico/VER58/2012|2012-01-17,2012.04372
A/Peru/PER043/2011|2011-08-26,2011.64932
A/Peru/PER158/2011|2011-09-06,2011.67945
A/Peru/PER235/2011|2011-05-27,2011.40000
A/Peru/PER255/2011|2011-09-06,2011.67945
A/Peru/PER061/2011|2011-09-02,2011.66849
A/Florida/30/2012|2012-03-02,2012.16667
A/Masaya/INI00222/2011|2011-10-13,2011.78082
A/Nicaragua/AGA2_23/2011|2011-10-04,2011.75616
A/Nicaragua/AGA2_25/2011|2011-10-06,2011.76164
A/Nicaragua/AGA2_30/2011|2011-10-10,2011.77260
A/Nicaragua/AGA2_64/2011|2011-11-03,2011.83836
A/Nicaragua/AGA2_32/2011|2011-10-12,2011.77808
A/Nicaragua/AGA2_40/2011|2011-10-17,2011.79178
A/Tegucigalpa/FHT00191/2011|2011-10-04,2011.75616
A/Peru/PER220/2010|2010-11-02,2010.83562
A/Nevada/12/2012|2012-03-30,2012.24317
A/Alaska/21usafsam/2012|2012-01-29,2012.07650
A/Colorado/44/2012|2012-01-09,2012.02186
A/New_Mexico/07/2012|2012-02-16,2012.12568
A/San_Diego/FDX11070/2011|2011-12-15,2011.95342
A/Managua/INI00283/2011|2011-10-23,2011.80822
A/Mexico/VER40/2011|2011-12-01,2011.91507
A/San_Diego/BRD11439/2011|2011-11-02,2011.83562
A/Masaya/INI00224/2011|2011-10-14,2011.78356
A/Nicaragua/AGA2_48/2011|2011-10-24,2011.81096
A/Nicaragua/AGA2_49/2011|2011-10-24,2011.81096
A/Nicaragua/AGA2_65/2011|2011-11-06,2011.84658
A/Nicaragua/AGA2_67/2011|2011-11-07,2011.84932
A/Santa_Cruz/174/2011|2011-09-05,2011.67671
A/Porto_Alegre/LACENRS_822/2011|2011-07-14,2011.53151
A/Thailand/KS08398/2010|2010-10-14,2010.78356
A/Peru/PER174/2010|2010-11-10,2010.85753
A/Peru/PER134/2011|2011-11-16,2011.87397
A/Peru/PER265/2011|2011-09-14,2011.70137
A/Peru/PER271/2011|2011-09-13,2011.69863
